k;n;cmp;swap
1;10;22;34
1;20;61;88
1;30;115;148
1;40;163;216
1;50;220;286
10;10;22;34
10;20;63;88
10;30;111;148
10;40;166;216
10;50;223;286
100;10;22;34
100;20;62;88
100;30;111;148
100;40;165;216
100;50;221;286
