k;n;cmp;swap
1;1000;8741;8997
1;2000;19394;19974
1;3000;31202;31958
1;4000;42875;43874
1;5000;56779;58073
1;6000;68688;70121
1;7000;81170;83045
1;8000;93839;95885
1;9000;112073;114501
1;10000;123527;126235
1;11000;136247;139154
1;12000;148745;151901
1;13000;164094;167559
1;14000;176239;179921
1;15000;190256;194170
1;16000;203562;207808
1;17000;230555;235040
1;18000;242265;246990
1;19000;255216;260171
1;20000;267181;272481
1;21000;282661;288312
1;22000;295042;300708
1;23000;308557;314586
1;24000;321904;328270
1;25000;341536;348216
1;26000;353867;360633
1;27000;367914;374872
1;28000;380467;388053
1;29000;396943;404656
1;30000;410759;418484
1;31000;425242;433294
1;32000;439100;447577
1;33000;484577;493309
1;34000;495662;504512
1;35000;508012;517320
1;36000;520563;529701
1;37000;536210;545909
1;38000;548605;558328
1;39000;560971;571468
1;40000;575030;585462
1;41000;587881;598590
1;42000;606699;617797
1;43000;621285;632453
1;44000;633838;645193
1;45000;650266;662198
1;46000;662706;674791
1;47000;676420;688635
1;48000;691172;703742
1;49000;705869;718621
1;50000;733065;746050
10;1000;8705;8983
10;2000;19437;19971
10;3000;31298;32090
10;4000;42898;43955
10;5000;56817;58099
10;6000;68456;70003
10;7000;81236;83056
10;8000;93831;95881
10;9000;112052;114448
10;10000;123584;126202
10;11000;136391;139285
10;12000;148857;152000
10;13000;163970;167346
10;14000;176383;180058
10;15000;190211;194112
10;16000;203704;207824
10;17000;230687;235182
10;18000;242295;246987
10;19000;254912;259907
10;20000;267307;272493
10;21000;282591;288058
10;22000;294760;300478
10;23000;308616;314577
10;24000;321689;327905
10;25000;341740;348262
10;26000;354048;360792
10;27000;367758;374811
10;28000;380881;388190
10;29000;397443;404933
10;30000;410436;418260
10;31000;425350;433344
10;32000;439224;447605
10;33000;484862;493581
10;34000;495551;504497
10;35000;508871;517920
10;36000;520479;529861
10;37000;536301;545955
10;38000;547971;557878
10;39000;561585;571675
10;40000;574581;585104
10;41000;593665;604470
10;42000;607347;618246
10;43000;620175;631462
10;44000;633762;645097
10;45000;648551;660172
10;46000;663122;675085
10;47000;677039;689302
10;48000;691400;703960
10;49000;707484;720219
10;50000;733602;746581
100;1000;8754;9032
100;2000;19475;20004
100;3000;31231;32022
100;4000;42935;43978
100;5000;56808;58121
100;6000;68434;70003
100;7000;81210;83041
100;8000;93808;95884
100;9000;112093;114446
100;10000;123622;126229
100;11000;135029;137872
100;12000;148864;151999
100;13000;163989;167379
100;14000;172894;176476
100;15000;190218;194139
100;16000;203622;207789
100;17000;230835;235301
100;18000;242227;246930
100;19000;254962;259925
100;20000;267277;272489
100;21000;282485;287988
100;22000;294750;300479
100;23000;308577;314543
100;24000;321787;328008
100;25000;341828;348330
100;26000;354036;360783
100;27000;367756;374791
100;28000;380852;388136
100;29000;397320;404898
100;30000;410429;418246
100;31000;425262;433320
100;32000;439253;447586
100;33000;484012;492864
100;34000;495883;504725
100;35000;508503;517620
100;36000;520488;529868
100;37000;536009;545710
100;38000;548076;557970
100;39000;556050;566136
100;40000;574611;585040
100;41000;591682;602524
100;42000;607204;618110
100;43000;620407;631605
100;44000;633537;645020
100;45000;648143;659892
100;46000;663091;675040
100;47000;676756;688984
100;48000;691437;703911
100;49000;707614;720422
100;50000;733568;746578
