k;n;cmp;swap
1;10;40;33
1;20;106;88
1;30;242;214
1;40;372;337
1;50;656;612
10;10;27;19
10;20;109;92
10;30;241;214
10;40;393;357
10;50;659;614
100;10;28;21
100;20;110;93
100;30;241;215
100;40;419;383
100;50;636;590
